n_agents,p_rewiring,densify_valence,rewiring_type,uncertainty,n_experiments,mean_degree,true_consensus,convergence_step,agent_type
3519,0.6155408144016257,False,density,0.0190880824867405,5452,1.666950838306337,0.5447570332480819,15,beta
3519,0.9433944736308773,True,density,0.0104722285226179,895,6638.03523728332,1.0,2,beta
3519,0.3469639190001613,False,density,0.0157572443990931,7710,2.828076157999432,0.5430520034100597,14,beta
3519,0.2842985684715435,False,density,0.0122445681128808,610,3.125319693094629,0.3628871838590509,43,beta
3519,0.0965872670835994,False,density,0.0042916782970871,1414,3.927252060244387,0.2588803637396988,26,beta
3519,0.8061498221498911,False,density,0.0245615229278789,1609,0.8451264563796533,0.5129298096050015,30,beta
3519,0.0072439790975664,True,density,0.0061841738559251,2116,55.28616084114805,1.0,7,beta
3519,0.1794129860424562,True,density,0.0114191176824835,7991,1265.9323671497584,1.0,2,beta
3519,0.7830091019411146,True,density,0.014202805131199,2313,5510.253481102586,1.0,2,beta
3519,0.556469191361591,True,density,0.0232764251533326,471,3917.3157146916737,1.0,3,beta
3519,0.4976271838759928,False,density,0.0124399041885136,8462,2.184143222506394,0.5385052571753339,16,beta
3519,0.5279895722768941,False,density,0.0045003776498533,6349,2.022733731173629,0.3873259448707019,15,beta
3519,0.5120564919610392,False,density,0.0140419672927855,7561,2.128445581131003,0.5311167945439045,14,beta
3519,0.5493184968306863,False,density,0.0162490632316274,4920,1.963057686842853,0.5268542199488491,18,beta
3519,0.4427092221813716,False,density,0.0192169966739663,6812,2.4097755044046605,0.5478829212844558,15,beta
3519,0.9088313282376504,False,density,0.0204833973167075,2915,0.3870417732310315,0.508667235009946,24,beta
3519,0.2254663610997663,False,density,0.0130234059796436,9361,3.366865586814436,0.5441886899687411,13,beta
3519,0.3035538835851434,False,density,0.0208249413245374,5212,3.050298380221654,0.5487354362034669,16,beta
3519,0.6241325249810941,False,density,0.0095012220413858,3085,1.6129582267689684,0.454390451832907,22,beta
3519,0.4068651670933614,False,density,0.0234438371234473,4144,2.588803637396988,0.5467462347257743,18,beta
3519,0.9502024118617448,False,density,0.0226187856134901,4430,0.2119920431940892,0.5208866155157715,19,beta
3519,0.0183021308257689,False,density,0.0114731191984807,5961,4.266552998010798,0.5268542199488491,16,beta
3519,0.2307426098390038,False,density,0.0017650787625025,3454,3.3367433930093777,0.1977834612105712,18,beta
3519,0.1045188851330339,False,density,0.014848445162287,7361,3.8948564933219663,0.5569764137539074,14,beta
3519,0.3098866253730785,False,density,0.0060434943469297,5444,3.001420858198352,0.4396135265700483,15,beta
3519,0.3866442662555679,False,density,0.0088514673098337,3240,2.623472577436772,0.4461494742824666,20,beta
3519,0.1898074289927239,False,density,0.0141875100932392,8903,3.5618073316283034,0.5473145780051151,14,beta
3519,0.0748564506073418,False,density,0.0219054761485307,3303,4.018186984938903,0.5515771526001705,19,beta
3519,0.3271131373659878,False,density,0.0022614150156408,9318,2.923557828928673,0.3128729752770673,13,beta
3519,0.4218661095313885,False,density,0.0119336843369814,919,2.483091787439613,0.4032395566922421,36,beta
3519,0.9830825786598671,False,density,0.0175647752491315,1880,0.0636544472861608,0.463768115942029,26,beta
3519,0.898181499057826,False,density,0.0198261462208966,8934,0.4541062801932367,0.5370843989769821,14,beta
3519,0.8652863033406725,False,density,0.0213589389928984,5677,0.5916453537936914,0.5294117647058824,18,beta
3519,0.7005958374689061,False,density,0.0093021464302676,6123,1.29127593066212,0.4950269963057687,14,beta
3519,0.3435040895899643,False,density,0.0139668431367079,9733,2.8815004262574595,0.5382210855356635,12,beta
3519,0.5152781179300757,False,density,0.0094673641304878,3007,2.1295822676896847,0.4387610116510372,22,beta
3519,0.0010672735339688,False,density,0.0123975647518395,9862,4.343847684001137,0.5436203466894004,13,beta
3519,0.3183164558045458,False,density,0.0045828628963003,6311,2.9548167092924125,0.3915885194657573,14,beta
3519,0.4963393511645394,False,density,0.0154523228942266,6713,2.1665245808468314,0.5353793691389599,14,beta
3519,0.8047525561295376,False,density,0.0068563740314271,143,0.817277635691958,0.1310031258880363,78,beta
3519,0.5872598371576564,False,density,0.0041043749741866,7631,1.7794828076158,0.3870417732310315,13,beta
3519,0.8442420518655162,False,density,0.017879277661934,988,0.6876953680022734,0.4555271383915885,36,beta
3519,0.9878611204668716,False,density,0.0073722946471892,425,0.0517192384200056,0.1770389315146348,47,beta
3519,0.0002129871877409,False,density,0.0156185283208206,8071,4.344416027280477,0.5410628019323671,13,beta
3519,0.4794045228683069,False,density,0.001958891450735,7286,2.242114236999148,0.2549019607843137,14,beta
3519,0.3125865955623419,False,density,0.0052320860869721,9986,2.992895709008241,0.4680306905370844,13,beta
3519,0.2216107261397913,False,density,0.0051539914303326,5990,3.3827791986359763,0.4134697357203751,14,beta
3519,0.2937262917358143,False,density,0.0185097244100707,6290,3.07075873827792,0.540210287013356,16,beta
3519,0.5352562515695642,False,density,0.0249592879314613,2141,2.042057402671213,0.5376527422563229,22,beta
3519,0.4200482057332971,False,density,0.020118047442058,28,2.554134697357204,0.1838590508667235,166,beta
3519,0.2532126346791961,False,density,0.0229814323750709,2114,3.2571753339016767,0.5450412048877522,27,beta
3519,0.423397119029549,False,density,0.015776834018943,5152,2.4836601307189543,0.5299801079852231,17,beta
3519,0.7932179964023621,False,density,0.0202416037383689,2800,0.8888888888888888,0.5336743393009378,19,beta
3519,0.7772277426531089,False,density,0.0047415120918616,4406,0.9610684853651604,0.3640238704177323,17,beta
3519,0.1073824102082624,False,density,0.0137193942880995,1248,3.864165956237568,0.4475703324808184,31,beta
3519,0.5466891160633258,True,density,0.0243216128517258,5376,3848.523444160273,1.0,2,beta
3519,0.2908803304176626,True,density,0.0173064555089608,3531,2049.7402671213413,1.0,2,beta
3519,0.2151770412694673,True,density,0.0172143546129266,859,1517.4231315714692,1.0,3,beta
3519,0.4661937275151698,True,density,0.0203897571940996,7577,3282.4580846831486,1.0,2,beta
3519,0.9527769258873212,True,density,0.0044265806115451,8012,6703.999431656721,1.0,2,beta
3519,0.7017398047239469,True,density,0.0079693618382637,7749,4938.801364023871,1.0,2,beta
3519,0.429494361741157,True,density,0.010275510634943,8288,3024.467178175618,1.0,2,beta
3519,0.3925035221473538,True,density,0.0111837853734478,9503,2764.3364592213698,1.0,2,beta
3519,0.6427275214172212,True,density,0.0126928957342087,8323,4523.797101449275,1.0,2,beta
3519,0.215692969171141,True,density,0.023816770498467,9057,1521.047456663825,1.0,2,beta
3519,0.2315190111909395,True,density,0.0174706952264938,1187,1632.3427109974425,1.0,3,beta
